statename,gender,educ,partyid,firstthought,taxpayer,percenttp,recent,tpfeel,biggest,wagesal,paystub,child,depend,glad,upset,benefit,wastecents,wastethink,eitcself,eitcexp,eitcother,eitcthink,labforce,polideo,polinffreq,regvote,feelfedgov_1,voted,discusspol,poleffic,polvol,polknow1,polknow2,polkno3,marital,ownhome,stateresid,yearbirth,raceeth,hhinc,weightvec
Pennsylvania,2,5,1,"federal taxes, property tax, school tax",1,80,school tax in August 2014,Ok and feel that my money is being used for something useful.,school,1,FICA / Social security / PA tax / :ocal tax / ,2,0,"environmental issues, medical research",military weaponry / big business / advertising for politicians,Not sure,40,campaigning,3,,3,,8,2,3,1,67,1,2,2,4,4,1,1,1,1,39,41,1,13,0.920166135
Massachusetts,2,5,3,I think of all the money taken from my paycheck and the different programs the money goes into.,1,71,Yesterday I bought lunch and paid a sales tax.,It feels okay.,income tax,1,"State tax, Federal Tax, Medical",0,No,I'm glad I pay taxes for city repairs and education.,I don't like paying for unemployment benefits.,I don't think I have benefited as much as I could.,60,the programs that money goes into that don't benefit people very much.,3,,3,,1,5,4,2,9,2,3,4,4,3,4,6,5,3,22,60,3,10,5.000083137
North Carolina,1,5,3,How much I have to pay the state when I buy something. ,1,81,Yesterday when I made a purchase. ,So so / ,Sales tax,1,"State, fed, fiction, ss",0,No,"Education,  national parks, studies in global warming ","A bridge to nowhere,  pork projects ",No,39,Studies about how flies reproduce ,3,,3,,2,4,3,1,51,1,1,2,4,2,1,3,3,4,34,22,1,1,0.343243209
California,1,5,6,cost  of what govt supplies like army mail roads cops fire fightwers ect,1,31,today sales taxes when I shopped,productive,income,1,"ssi, social,uneployment,income",0,1,our less fortunate people who are in real need,wasteful spending by jerks,our country is safe,33,too  many things to mention,1,saved some money honey,2,the same thing duh,1,5,2,1,26,1,2,2,1,2,1,4,3,1,5,23,1,17,1.185001802
Wisconsin,1,3,7,april 15 time to send in taxes,1,70,"yesterday, grocery shopping",don't like it,business,1,FICA,0,0,"roads and highways, bridges",government workers who don't do there job,better roadways,80,goverment workers and spending,3,,2,some people really need it,2,7,1,1,3,1,1,2,4,1,2,6,5,1,50,25,1,1,0.427902551
New York,1,2,2,no money taken from my pay check,1,82,last week it was taken from my paycheck,it feels good to know I don't owe anything,i really do not know,1,"city, state, fica",0,0,I am glad they help pay for education,there is nothing I can think of,no I really do not,44,the un neccssary spending,3,,4,,2,4,2,1,72,1,2,3,2,4,4,6,5,3,33,32,2,1,0.871256716
Illinois,1,6,4,government taxing citizens to overspend,1,50,September 2014 for the final payment of my 2013 real estate tax,not very pleasant when I see such overspending and corruption in government,income taxes,1,"fica, federal and state income taxes",0,my wife,everything but corruption and waste and social programs that don't help those in need,waste and corruption plus wasteful social programs that don't help those they're supposed to,"defense, police protection, fire department, social security, medicare",60,"afghanistan, irag, the UN, Medicaid",3,,3,,6,4,3,1,50,1,1,3,4,2,1,3,1,1,14,14,1,NA,0.946813996
Ohio,2,3,4,"too many, too much, legal scam",1,49,"grocery, yesterday, sales tax","overtaxed, taxed enough already, legal scam, fire the IRS","federal, state, local, gas, sales",1,"federal, state, local, FICA",0,no,"Nothing, I could do a better job with my money.  ANYTHING the feds control is corrupted and bankrupted almost immediately.","Legal scams, ACA, IRS, pensions and healthcare for criminal federal employees.","No, not at all.",100,"junk programs, shrimp on a treadmill and so many more of these ridiculous projects, sweetheart deals, solar energy, banks, auto bailouts",1,"It doesn't, can't claim any longer.",2,Couples with children.,1,6,1,1,0,1,2,1,4,2,1,3,3,1,36,15,1,8,0.787470485
Florida,4,NA,NA,ykukrukyker7ki rujruirkiru ru7i67i 76ui 76iuiyjgfh,3,69,563236 trjr u76u7 7u4uu7fjfh j  hjkfyuk,gfhjfgjkklghhdsb sgsghst dghjyh yjhtyjtyjdtyj,ujkfkfhjg jghj ghjfjftyjsw k;.k  ,0,,0,0,"78iotyi,tyuir yuir6i rtyr76tyjtrseraaqt ret  wertyrtyw ",ghjghljkl hjkyukli yuityoyotu yukiiio;,hjtjkalkja;lkj jlkjasl;kdgj ;lkjg l;kjgfalfhg ,95,hfthyr eytuetyuity tyeytietui  etyuieruieyuet,4,,4,,NA,NA,NA,NA,31,NA,NA,NA,NA,4,4,6,6,5,10,49,NA,1,1.601966451
Arkansas,1,2,4,money coming out of my pocket and less money to spend on needed thing,1,30,today grocery tax on the food I bought today,I feel as though I am doing my part for my country,taxes on my food and gas make up most,1,"fica social security, state and personal",0,wife,"school,roads and helping the poor",politician salary and wars,no,5,political elections ,3,,1,I think it is important to help those with kids,6,4,2,2,80,2,2,3,4,2,2,3,1,1,4,27,1,2,0.343243209
Alaska,1,2,4,gdsgdgghkgkkkhkhltetetedsffsfsfsfsfsfsfsfsfffshgfhfh,1,12,homeghjkgkldsfsfklidvxvsfsdffsfcffsfsffdsgghghgh,dsgtggsg,fgdfgdfg,1,xfgvxggdfgdgdgdgdgdgdgdgdgddgdg,0,dfgdfgd,634534xfgvxggdfgdgdgdgdgdgdgdgdgddgdg,xfgvxggdfgdgdgdgdgdgdgdgdgddgdg,vzxvzfds,12,xfgvxggdfgdgdgdgdgdgdgdgdgddgdg,1,xfgvxggdfgdgdgdgdgdgdgdgdgddgdg,2,3.45E+12,2,2,3,NA,12,2,1,2,2,2,1,1,3,1,2,48,1,2,0.570545043
New Jersey,2,2,4,Government related income collected from general public,2,5,"On purchase of goods like hemlets, motorbikes, imported goods, etc",not good when the earning is not enough to me,Value Added Tax and Income Tax,0,,1,no,It is used for the development of the country,It is not used as I think fit,Yes. The country progress results my income level increase in years ,2,offcial meeting and seminars,2,somewhat less than the actual,1,It is good step and more other credits needs to come,7,4,3,1,6,1,3,2,4,2,2,6,5,3,31,61,1,6,4.847681165
Wisconsin,2,4,4,Taxes is like being raped.  The government fucks you over and then doesn't give a crap.,1,63,"sales tax, buying something necessary - gasoline",like shit,income,1,fica  / wisc,0,husband,There is absolutely nothing that I am glad that I pay taxes for - absolutely nothing,too much welfare / too much $ spent on politicians (they do not deserve it) benefits are ridiculous ,no,57,government itself - budgets get spent whether there is a need or not,3,,3,,1,7,3,1,9,2,2,5,4,4,4,6,1,1,50,24,1,16,0.631508565
Ohio,2,5,1,a pain in the butt but it is something that we all have to pay,1,81,last month - my property taxes and state and federal taxes,it feels that I am doing my part to contribute to the economy,federal taxes,1,federal / state / local ,2,no,education / medicaid/medicare / social security,people that do not want to work or people that use drugs and abuse the system,yes because of my deductions - i break even and get back what i paid in taxes most of the time,40,a lot of unnecessary construction on the roadways ,1,it let me receive a nice refund,1,i think it is great for people with kids but the should raise the income limits of people that receive it,1,6,3,1,58,1,2,2,3,1,1,2,5,1,36,36,2,11,1.375829411
Kansas,1,3,7,Less money for me and more for the government to spend on what ever they want.,1,50,For sales tax for dinner tonight.,OK but don't like to support myself and some one else.,Federal and state Income tax.,1,"State, Fica, Federal",0,yes,"Roads and police, fire protection.",People who are able to work but don't and those who have babies out of wedlock for the free check each month.,Somewhat but feel I paid my share and someone else's share.,27,"The $420,000,000 that went missing in equipment, etc. in Afganistan.",3,,4,,6,6,4,1,51,1,2,2,3,2,1,3,1,1,17,12,1,13,0.923063978
North Carolina,2,2,4,"Income taxes taxes , Sales taxes, property  taxes, Death taxes.",1,70,When we pain our income tax ,It what everone has to do i could be lowered to help everyone out,Car taxes,1,"Income tax, medicare tax, It has been a while since i received a pay check i am retired ",0,No,Social Security Medicare We paid these all the time we worked now they still take the medicare out of our  Social Security check i don't think this is fair after we paid already ,Not sure they go for so much ,No,97,When the President goes places why can't he just make a conference call with video with the money and the technology   we have now instead of using money for the plane helicopter  and all of the cars for all of his security people it would be just like he was their instead of going their.,1,It helped when we had children at home ,4,,6,4,3,1,39,2,3,5,4,2,2,6,1,1,34,14,1,NA,0.759489452
Washington,2,6,2,"money, burden , price increase ",1,68,Sales tax on my baby's clothes,It sucks ,income tax i guess,1,Federal taxes ,1,no ,Developed infrastructure ,Nothing in particular i can think of / ,"Yes clean well maintained roads, free access to public library,  schools for kids, public parks . / There are tons of benefits ",23,i don't know may be some kind of redundancy in different projects that the government does ,3,,3,,8,4,3,2,76,2,3,4,4,1,1,6,1,1,48,46,4,15,2.15034017
California,1,4,1,support of our common govenment,1,80,I paid sales taxes on a recent purchace,fine,sales taxes,1,fica,0,no,"roads, police, protection, courts, epa..","oil subsities, job outsourcing","the nation, state and city that I live in. they wouldn't exist without it",14,stupid tax breaks,3,,4,,2,2,2,1,62,1,2,2,4,2,1,3,2,3,5,20,1,8,0.3930594
Florida,1,5,2,Revenue for government. Ways to fund services.,1,50,Today. It was was sales tax for a good purchase at Wendy's./,FIne. It's an obligation.,Income tax.,1,"Federal income tax, medicare tax, unemployment tax.",1,Also wife,"School, fire, police, research.",Bureaucrats. useless studies.,"Probably. For government services, such as schools, police, fire.",11,USeless studies.,3,,3,,1,2,2,1,60,1,2,4,4,2,1,3,1,1,10,23,1,16,0.506566333
Pennsylvania,2,2,6, I think about how much I will have to pay in new taxes.,1,70,"Sale tax, income tax, and gas tax.",It is just life.,Everything we do not make alot of money.,1,Income tax,0,0,"Military, SSI, lunch programs in schools and National Parks.",Congress and all the government people that have trouble doing what good for this country and not for their party.  ,Yes we have a good military and they took my health insurance because of Obama care and I had to get Obama care.  ,30,Different bills that they pass that are not helping people.,3,,3,,1,6,4,1,2,1,2,4,4,2,2,1,1,1,39,22,1,11,0.429536552
Illinois,1,5,4,"Income, energy and food taxs",1,40,"Last year I p[aid income tax, energy; tax, food tax, communications tax and ",Like a patriot,income tax,1,"Federal. Social; Security, Medicare, State",0,My Spouse,"Roads, Energy and Food supplies",No I am not upset about the tax I pay,"Roads, energy and food at reasonable cost",11,"Friction with the government, all large bodies waste some.",3,,3,,1,4,2,1,29,1,2,3,4,2,1,3,1,3,14,18,5,14,1.612731644
Florida,1,6,6,money paid to the government to provide for the common good,1,49,paid sales tax on my last purchase,I don't mind paying to support the common good but feel it can sometimes be unfair,income tax and property tax,1,"federal withholding, social security, medicare",0,yes,"Defense, education, roads, space exploration, advanced scientific research, medical research, police and fire protection, ","too many entitlements, unnecessary/frivolous research",Yes. The defense of our nation. The roadways on which we drive. Police and fire protection. Schooling of our children. ,15,"unnecessary research grants, too many social programs that do not encourage people to work",3,,3,,1,6,2,1,20,1,2,2,4,2,1,3,1,1,10,21,1,17,1.302865633
Arizona,1,6,4,"internal revenue service, payroll, government",1,81,paid sales tax on grocery purchases today,don't like it but understand it is part of having a strong society,income tax both state and federal,1,federal state fico medicare,0,0,"the country's infrastructure, programs the benefit people less fortunate than me","generally wasteful spending, pork projects inserted into bills",benefit by having a military to protect us and money for infrastructure,35,overpaying for things because of the contract system,3,,3,,1,4,3,2,10,2,3,3,4,1,2,3,1,1,3,34,1,19,1.185001802
Missouri,1,5,6,money coming out of my pocket,1,72,county property tax for my county,good on that have a good job and house,federal income tax,1,federal tax  state tax  social security  ,0,no,highway and police services,not sure on this one undecided,"yes in that have nice roads, etc",23,waste on programs that have little to no value to one's life,1,extra income though that was 15 years ago,4,,1,6,3,1,40,2,3,4,4,4,4,6,3,1,26,26,1,12,0.538743107
New Mexico,1,6,1,Money for income give state.,2,50,Never I pay because I am strenger.,Sad,o,0,,0,0,When I haved income I be glad to pay taxes.,Because I never have income and money.,I brnefits for tax dollars.,61,Money.,1,Better life.,1,Good idea.,6,4,1,1,100,1,1,1,1,1,1,4,1,3,32,4,1,3,0.456324613
Georgia,1,2,7,money out of my check every montth,1,47,2014 i pay every pay check,not to good ,50000,1,more taxes taken out of my check,1,2,schools and roads work and the teachers ,because of the amount you have to pay,no because it takes half of my check,58,grants,1,more money for the refund,1,its a great help for the refund check,1,1,1,1,92,1,1,1,1,2,2,1,1,1,11,54,1,14,0.92577388
Utah,1,3,6,scary and dredded and but me in a bad mood,1,40,sales tax at a store for items,ok,sales,1,ss,0,0,government benefits and services,the president and congess and senate salary,not sure,41,government salaries,1,not much,1,helpful,1,4,4,1,19,2,3,3,3,2,2,3,5,3,45,53,1,11,0.718334602
District of Columbia,2,2,4,"money, IRS, turbo, income",1,71,"Made estimated tax payments if your income tax withholding will not fully cover next year's tax liability. This applies mostly to self-employed people, landlords, and investors. This is because your income tax withholding from your employment may not be sufficient to pay your federal income tax in full by the end of the year.",normal I guess,I dont understand this question,1,I dont recall,2,no,"whatever needed, I trust what the government decides","not sure,hardly think about that",not sure,0,nothing,4,,4,,8,5,3,2,59,NA,NA,3,4,3,3,6,1,3,9,40,3,2,1.641951179
Oregon,2,3,6,an obligation to all who are in the work force living in the United States. / Taxes keep the country running. / State taxes keep each state running.,2,60,About 35 years ago when I was working.  I have been disabled for 29 years,like I'm a person belong to the USA,none,1,Social Security / FICA,0,0,I'm glad I paid taxes on Social Security because I have been receiving SSI for 29 years and am greatful for the help I am receiving.,I think it has been a waste of taxpayers money to have paid for unnecessary programs like counting ducks or fish / or trees and things like that,not sure,20,unnecessary programs,3,,3,,5,6,2,1,39,1,1,2,1,1,1,3,3,3,38,21,1,NA,0.4725944
Ohio,2,4,2,Sales taxes on things that I buy.,1,40,Today when I bought gas for my car.,Over charged.,Property taxes.,1,"Federal, state, social security and medicare.",0,0,I am glad for roads and infastructure.,WELFARE and too many government employees and too much wasted on environmental protection.,No.  I draw nothing from the government so I get nothing.,60,It takes two to three people to do the same amound of work that one person does in the commercial job.,3,,1,I have no problem with it.,2,6,2,1,20,1,3,4,4,2,1,3,1,1,36,32,1,12,0.538743107
Illinois,2,6,1,when i hear the word taxes i think of another bill,1,90,"i last paid tax at the grocery store, walmart and gas station",it feels good to contribute to your state but it would help if we don't get taxed for everything,house tax is the biggest part of my family's budget,1,federal and state,0,1,"education, health and road work",perks for the politicians,i guess it helps during tax season,25,the perks they use which they should not have,1,higher tax return,1,great benefit to parent and their kids,1,4,3,1,51,1,2,2,4,1,2,6,5,1,14,37,2,14,1.612731644
Nevada,1,3,4,levy on goods and services by the government.,1,86,sales tax on food from restaurant,Dutiful,I'm assuming property taxes,1,FICA,0,0,"roads, public facilities, landmarks","congress using tax dollars for upgraded travel & luxury leisure expenses, defense spending is through the roof and it's a warmonger's dream","Not so much personally. Other than, maybe some of the roads being renovated.",80,"defense spending, congressional spending for personal gain",4,,4,,1,4,3,1,13,1,2,2,3,3,4,1,5,1,29,47,5,17,5.000013911
New Jersey,1,6,6,ripoff by the government / ,1,82,paid sales tax at cvs pharmacy for lotion,it's terrible,property or paycheck,1,social security - unemployment - workers comp - federal & state - city - local gov,0,no,police - fireman - roads - that's it,everything else - the government is too big & too much waste with no oversight,no,81,black budget,1,it was nothing - no impact,2,no opinion,1,5,2,1,9,NA,2,4,2,2,2,3,1,3,31,44,NA,NA,2.004710154
Pennsylvania,1,2,4,"bank ruped, lose money that you haved saved for years",1,100,10 secs. ago all the time,like I can never get ahead of my bills,school and property taxes,1,"fed, local, township, unemploment tax, pa tax, Social Security Tax, Medicare Tax, PA SUI/SDI Tax",0,2,"they don't pay for anything, it just goes into the Govs peoples pockets","The Govs. peoples pay they get payed 5 times more then me, they should get my pay","no, the road are still holely, can't get unemployment, on help of any kind",60,gov.  pay they get,3,,2,you have to be totley broke to get it,2,7,2,1,0,1,3,1,4,1,1,3,1,1,39,29,1,2,0.341164062
California,1,6,6,excessive money coming out of my check,1,40,sales tax on my dinner on Tuesday night,I don't mind paying my fair share but I don't like the idea that others don't pay their share,federal income tax,1,"federal income, state income, medicare, social security",0,0,"police, fire, roads, water treatment","welfare, unemployment extensions, unnecessary services to people with disabilities, supplemental security income for people who are able to work","yes, I have police and fire service for peace of mind, there are street lights and roads that I travel on, the water and air that I breathe are clean",39,"wasted time, wasted materials, theft, abuse of materials and equipment, replacement of equipment that is still in good repair",3,,2,I don't have a major opinion of either one.,6,6,2,1,40,1,2,3,4,1,2,3,1,1,5,16,1,19,1.732094445
Ohio,1,5,4,taxes are too high and congress does nothing about it,1,60,real estate taxes on my house,willing to contribute my fair share in taxes,real estate taxes,1,"federal tax, state tax, city tax, social security tax",0,0,I' happy to pay taxes to support my local school district,taxes to the federal government that waste billions of dollars on too many programs,"yes, from taxes paid to my school district to help support quality education",39,social programs ,3,,1,I think it's absurb to help support people who want to have children to get money to help support them,6,4,1,1,20,1,2,1,1,2,1,3,3,1,36,13,1,15,0.923063978
Maryland,1,3,3,"necessary , balance budget , infrastructure , food programs , pre K , ",1,50,I paid sales tax on items bought online ,good makes me feel patriotic ,"Sales tax is or income tax , not sure which ",1,"FICA , Federal , State ",0,No,"Education, Social Security , Unemployment Benefits, EPA , FDA, Food Stamps, Housing subsidies , VA, Infrastructure , SEC ","Bloated Military , Tax breaks for ultra wealthy, big business subsidies ","Yes , Social Security , Unemployment ",25,"Unneeded military expenses , business incentives , vast overpayment for private contracting ",2,Takes about 200 $ off  the tax bill ,4,,9,1,1,1,63,1,1,5,3,2,1,3,5,3,21,24,1,9,0.432154266
Illinois,1,4,5,Tax and spend liberal democrats,1,48,Sales Tax for groceries at a grocery store,Over taxed by a wasteful government,Income taxes for the state and federal governments,1,"State income tax, federal income tax, FICO",0,1,"Defense, veterans benefits and highways","Welfare, food stamps, foreign aid and waste","Yes. The U. S. military protects my freedom, I drive on a fine interstate highway system, EMS system provides for emergency care and transport.",60,"Foreign aid, subsidies for everything from sugar to oil to green energy, legislators salaries and benefits, the U.S. Departments of Energy, Education and Commerce.",3,,3,,6,6,1,1,11,1,1,4,3,2,1,3,1,1,14,11,1,14,0.923063978
North Carolina,1,NA,3,that I hate paying them and I don't want any of my tax money going to pay for abortions,1,61,last year - I always pay taxes,"I feel ok with some parts of it, but not with paying for things I don't want to, like abortions.",income tax,1,"social security, fica",0,no,"I'm glad that they pay for national defense, veterans, things like that","I'm upset mainly, as I said before, that my tax dollars could potentially pay for some irresponsible girls to get abortions, when all they have to do is not have sex.",from the roads and things like that - public services,63,"beaurocrats, welfare",1,gave us money,1,it was good to have,1,4,2,1,19,1,2,2,4,2,1,3,1,1,34,43,1,NA,0.789782315
Indiana,2,2,4,It is the what we play on the money we make. We also pay it on the items we buy. ,1,100,I bought some food today. I also bought grocery items. ,It sucks I would rather not have to pay anything to the government. All they do is blow it.,Property tax,1,Federal and state.,0,0,It pays for schools and it pays for new roads. That is pays to help people that are in need.,That there is so many taxes.,Not really.,70,The money these people get paid. Way to much.,1,It helps a little bit with the bills.,1,It is fine if it helps you.,1,4,4,1,50,2,4,3,3,4,4,6,5,4,15,38,1,1,0.782012106
North Carolina,1,2,5,my money goinng to waste by the goverment,1,70,pay taxes almost every day in some form or another,some times good some angry,income,1,state federal ssi ssi,1,yes,the elderly so we can repay them for their service,lazy people wars that do nothing hand outs to pork projecte,we have to have taxes to live in a decent society with law and order,61,projects that go nowhere and do nothing,1,i do not qualify now but when i did it helped,1,some ways good some bad  there are ones who take when they dont need,1,4,3,1,48,1,3,2,4,1,1,6,1,1,34,27,1,12,0.432154266
Florida,2,2,5,I think of the corrupt government (in some aspects) taking my money so I can purchase something I want or need.,1,60,"Yesterday, I paid taxes on a pair of 100% polyester Nike pants to keep me warm in the coming cold months here in Colorado.  I had to pay the taxes at JCPenny if I wanted to buy the pants.  ",It feels good to contribute.  I will try and keep my thoughts positive about the matter at hand.,Sales tax on the items we need.  (Family of 3),1,"State, Federal",1,"Other than my child, no.",The roads.  We like to travel and see the country.,"Not upset, just think they could be used more intelligently.","No, I do not feel that I have benefited.",80,Pensions for government politicians who do NOT deserve payment for life after a single term in office.  ,2,I think (if memory serves) it gave us more money back than before our child was born.,3,,1,5,2,1,30,2,3,3,4,1,1,3,5,3,10,50,1,12,0.789782315
California,2,2,7,nonononnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,1,81,owed taxes bbbbbbbbbbbbbbbbbbbb,nnnnnnnnnnnnnnnnnnnnnnnnnn,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,1,nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,3,5,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,84,mmmmmmmmmmmmmmmmmmmmm,4,,4,,8,6,NA,1,82,2,3,1,3,2,4,6,1,1,5,48,4,15,2.15034017
Texas,1,2,5,government oversight its a way for the government to collect money and spend it without the authorization of its citizens,1,50,i paid a tax today on groceries,I would feel better if I had some say so in how its spent,federal withholding,1,federal withholding / social security / ,0,0,"our armed forces, providing for the defense of the country, that our infrastructure should be taken care of, enough money is paid in and allocated but most experts give our infatructure grade a ""f""","all kinds of worthless projects, like the study of the effects of a back massage on rabbits or the effects of sunlight on goldfish. Come on, really?",I think to extent I have benefited from some of my tax dollars.  I am a protected citizen from any outside invasion. There are federal guidelines protecting me as a consumer.,30,"all the pork promects that get thrown in, most  ofthese wasted research studies, or building projects that are not needed, supporting failing companies",3,,4,,1,7,1,1,2,1,1,5,1,2,1,3,5,3,44,34,1,8,0.432154266
California,2,6,2,have to pay more for a productg,1,80,sales tax of products that I buy at the store,"okay, you have to support the government",income tax,1,"income tax, medicare, social security, state tax",0,0,"schools, retirement, roads",pork barrel projects that the congress pass,the lower class,20,disability income that comes thru socail seciruty,2,payed alittle less,2,my sone and daughter,6,2,2,1,69,1,4,3,4,2,1,3,1,1,5,16,5,18,4.423381849
Ohio,2,5,4,money Uncle Same takes from my paycheck ,1,90,from my last paycheck - if you're talking about sales tax then this afternoon ,Annoying,income taxes,1,"Federal, State, and local city taxes, medicare, Social security",0,0,I'm not glad that they pay for anything.,"Military, welfare, and to people who don't deserve it",Probably have not benefited more in the long run,40,military spending,3,,1,I think they should raise the limit so more people can get it.,1,4,3,1,0,2,3,4,4,1,1,2,5,3,36,52,1,13,1.154111704
Texas,2,2,5,A percentage of income from your pay check for the support of the government.To put a burden or stress on people to owe or pay taxes.,1,71,I just paid property taxes last month.,Somewhat of a burden.,incom tax,0,,0,0,"I'm thankful to know that our tax dollars do some good such as take care of our roads,highways, and schools.",People that take advantage of the system that should be working and foreigners that need to work instead of just having a hand out.,"Hopefully so, I'll get some back when I'm older.",100,wars Iraq,2,It helped when we were raising our daughter.,1,It is supposed to help to support the children.,1,6,4,2,50,2,3,NA,4,2,2,6,1,1,44,31,1,9,0.432154266
Minnesota,2,2,7,too many taxes are harmful to the American people.  Less taxes would promote economic recovery and prosperity for every body.,1,50,I was at the grocery store and I bought 2 packages of chocolate chips.  When I checked out I was charged 21 cent tax. I asked the clerk why am I being charged for this because I thought food was tax free.  She said if it has flour in it they have to charge tax.  This makes NO sense to me at all.,over taxed,I'm being charged $15.00 per month on my IRA withdrawal.  This makes be sick because I only take out $300 a month.,1,"FICA, STATE, FEDERAL",0,There is just me and my husband,Nothing.  The roads in my area are terrible,As a Catholic and opposed to the killing of babies I HATE my tax dollars going for abortion.,NO!!!!!!!!!!!!!!!!,71,Tax dollars sent to Mexico and China for abortions,3,,3,,6,7,1,1,6,1,1,5,3,2,1,3,1,1,24,16,1,NA,0.946813996
Wisconsin,2,2,4,government taking money from consumers,1,99,went to grocery store and paid,I don't like it at all,grocery tax,1,I don't remember,0,no,road work construction and fixing potholes,I never thought about it much,"yes, by road construction being done",60,don't know,3,,1,its a good credit to have,1,6,3,1,15,1,4,5,4,4,4,6,5,3,50,23,1,10,0.538743107
Massachusetts,1,3,5,More money taken from my family and wasted by our government.,1,81,Sales tax for a toy I bought my grandchild.,Don't like it because it is money taken from my family and in many cases wasted by our government.,Income tax,1,"State, Federal ",0,wife,The needed and I don't mean the worthless layabouts.,"Welfare fraud, aid to other countries.",No,90,"Welfare fraud, foreign aid",4,,4,,6,6,3,1,19,1,3,1,3,1,1,6,1,1,22,13,1,9,0.627845355
Illinois,1,3,4,"responsibily to state, local, and federal goverment",1,81,yesterday paid state sales tax on purchases,normal. have been doing it all my life.,sales tax ,1,"state, federal, fica, county",1,no,"roads, schools, help for the needy",parties for elected people and millions wasted on elections,yes. drawing social security and railroad retirement on my working years plus I am represented by my goverment,60,interest on money borrowed. pensions for elected people,3,,1,wish they had that while I was raising my 9 children,6,4,1,1,2,1,2,1,4,2,1,3,2,1,14,17,1,8,0.787470485
Alabama,2,3,7,"A payment made by citizens to the government that supports the government and pays for the things used by the citizens such as roads, military, education and other necessary programs to keep the country operational.",1,60,Taxes on the gas I purchased for my car today.,"It does not feel as good as it should - I don't mind paying taxes, I just wish everybody was required to pay a fair amount and that everyone was able to pay their fair amount.",Probably sales tax and gas tax.,1,"State tax, Federal tax, Medicare tax, Unemployment tax - I believe there were 4 or 5.",0,no,"Parks, roads, the military, fire and police (safety), regulation of restaurants and public facilities and hospitals - anything that the general public shares, uses or can be injured or made to become ill or in some way injure another - I'm glad my tax dollars helps to keep these things safe for all of us.","Crazy studies or over spending for routine things.  I am also opposed to people who stay on the welfare and food stamp rolls for a long time.  There needs to be a way that gets our society self-sufficient in all but rare circumstances.  No one wants a person who is too old, too sick or who is mentally challenged to loose the only way they have of living.  But everyone who is able to work should be doing just that, we just need to make it a requirement and then make sure the jobs are available.","Yes I do.  I am proud that I live where we have so much, our country is full of parks, natural forests, roads that are good to travel, a great military and fire and police protection.  I think if we did not pay for these things, they would not be here for us to use and to protect us.",40,"Committees that study some of the crazy things - ""Most injuries in the home are caused by falls""; Overspending on things like $7 screws and $300 toilet seats.  Those things make no sense to anybody!",1,"When I was single with three children, it was a life-saver, but that did not happen but a few times, I ended up working two jobs to make ends meet.",1,"It helps.  I think it is good that it is available, it just should not be something that people learn to rely on year after year.",6,7,2,1,43,1,2,3,4,2,1,3,1,1,1,18,1,12,0.432154266
Nevada,2,2,4,"Politicians raise them to pay for public education, etc.",1,71,Last night when I was shopping at a retailer and paid state taxes for purchases I made.,I don't have any problem with it.,Property taxes on our house,1,State and Federal taxes,0,0,Better roads and public education for children.,Nothing comes to mind at this moment but in the past prisons.,"Yes, because we do have better roads and public education.",21,The high salaries of the postal workers.,1,We haven't done that for over 20 years so back then it helped with income taxes.,3,,8,4,2,1,19,1,2,3,4,2,1,3,1,1,29,18,1,19,1.185001802
Massachusetts,2,6,4,paying money on your income,1,19,I had my taxes done by an accountant and I received money back,ok,my income,1,"federal, state",0,1,"education; helping people with no food, defending our country",welfare; helping people who are capable of working,yes saved money,17,chemicals,3,,3,,7,4,3,2,24,2,3,3,3,3,3,6,3,1,22,26,1,17,1.294973709
Florida,1,3,1,paying back and help support your local government,1,61,just today I payed a sales tax,I guess so,income tax,1,fica,3,3,better high ways and local roads als parks and reck centers,politicians free meal and houses,"yes, it help my local government with the road and othe projects to make our life easier",81,the bridge to nowhere,2,more money for the holiday,4,,2,1,2,1,34,1,1,2,4,1,1,1,1,1,10,35,4,12,1.103625348
Oklahoma,2,2,4,"The government, IRS, Uncle Sam, being overtaxed, being double-taxed",1,90,At the grocery store - sales tax,"We should all pay taxes.  However, the tax guidelines seem unfair to most people.  And the government doesn't make good use of spending our taxes.",Income tax,1,"FICA, State, Federal",1,None,"Social security, social services and programs, police and fire departments","Retirement for government officials, outrageous salaries and other benefits for useless government officials, aid to other countries which would never come to our aid if we needed them, useless research programs, duplicative government programs and services",No,80,"War (defense), research and other studies with low priorities, aid to other countries",1,It gives a greater refund,1,It certainly helps low income families,2,4,2,1,20,1,2,2,4,1,2,3,5,1,37,27,1,11,0.432154266
